seed,prompt_id,prompt,generated_text
123,1,నేను పాఠశాలకు,"వెళ్లి పోయే ప్రమాదం అని సీఎం వైయస్ జగన్ పేర్కొన్నారు. ముఖ్యమంత్రి వైఎస్ జగన్మోహన్ రెడ్డి, ఎమ్మెల్యే భూమన కరుణాకర్ రెడ్డిని కలిసి సన్మానించారు వైసీపీ నేతలు మాట్లాడుతూ ఏ పార్టీ"
123,2,ఆమె పేరు,చెప్పి లొంగదీ సుకు ంటున్నారు. కానీ ఈ విషయం కాస్త వెలుగులోకి వచ్చింది. ఇందుకు సంబంధించిన వివరాలిలా ఉన్నాయి. తాజాగా యూపీలోని ఘజియాబాద్ లో ఓ వ్యక్తి తన ప్రియురాలి
123,3,నాకు నచ్చిన,వారు అలా మాట్లాడితే చాలు. ఎవరైనా సరే మీ పై చాలా మంది కలిసి ఉండరు కదా? అని చెప్ప ారో తెలియదు అనే ప్రశ్నకు తెలుసా నో మీరు ఏం
123,4,ఈ రోజు,"సాయంత్రం 7 గంటల నుండి తెలంగాణ రాష్ట్రవ్యాప్తంగా భారీ వర్షాలు కురుస్తాయని హైదరాబాద్ వాతావరణ కేంద్రం వెల్లడించింది. ఆదిలాబాద్ కి మురం భీం ఆసిఫాబాద్, మంచిర్యాల జిల్లా వ్యాప్తంగా మరో మూడు"
123,5,మా ఇంట్లో,"ఘోర ప్రమాదం జరిగింది. రోడ్డు ప్రమాదంలో ఓ వ్యక్తి తీవ్రంగా గాయపడ్డారు. స్థానికులు తెలిపిన వివరాల ప్రకారం వివరాలు ఇలా ఉన్నాయి, మేడ్చల్ మల్కాజ్గిరి - సూరారం జాతీయ రహదారిపై"
123,6,అతను చాలా,"రోజుల క్రితం తన భర్తను ప్రియుడితో కల హ మైంది. ఈ ఘటన మహారాష్ట్రలోని నాగ్ పూర్లో జరిగింది. భర్త, కొడుకు సహా ముగ్గురు వ్యక్తులు హత్యకు గురయ్యారు అంటూ"
123,7,తెలుగు భాష,"లో రాజకీయ ప్రకంపనలు సృష్టి స్తున్నాయి. అయితే తాజాగా'ఏపీ ప్రభుత్వ సలహాదారు సజ్జల రామకృష్ణారెడ్డి తీవ్ర వ్యాఖ్యలు చేశారు, ఎన్టీఆర్ వంటి సామాజిక మాధ్యమ ాలపై చంద్రబాబు ఆరోపణలు"
123,8,పిల్లలు ఆడుకుంటున్నారు,", పిల్లల సమస్యలు రాకుండా చూసుకు ంటున్న వారికి నే. పిల్లలను కడ కు ట్ట ని తల్లిదండ్రులు మందల ించే సమయంలో ఓ పిల్లా డికి జన్మనిచ్చింది కానీ వారు కూడా"
123,9,భారతదేశంలో,"గత 24 గంటల్లో 1, 56 8 నమూనాలను పరీక్షించినట్లు కేంద్ర ఆరోగ్య శాఖ తెలిపింది. ఇందులో అత్యధికంగా ఢిల్లీలో 12 32 మరియు 0 37 కేసులు నమోదయ్యాయని పేర్కొంది"
123,10,ఒక రోజు,"రాత్రి పూట చాలా మంది ఉంటారు. అది కాస్తా మంచి సంకే తం, తలనొప్పి వంటి సమస్యలకు చెక్ పెడుతుంది అని నిపుణులు సూచిస్తున్నారు కానీ ముఖ్యంగా చిన్న ప్పుడు గుండె"
456,1,నేను పాఠశాలకు,"వెళ్లే వారికి మీ చదువు, నేర్ చుకో వాల్సిన ఈ ప్రాంత ప్రజలు తమ పిల్లలను వదిలి పెట్టే ప్రసక్తే లేదని జనసేన అధ్యక్షుడు నాగబాబు అన్నారు. ఇదిలావుంటే వైసీపీ అధికారంలోకి"
456,2,ఆమె పేరు,మార్ చుకుంది. ఈ సారి కరోనా మహమ్మారి నుంచి కోలు కుంటోంది జగన్ సర్కారు తాజాగా'కోవిడ్ - 19 టీకాలు వేయ ించనుంది అని రాష్ట్ర వైద్య ఆరోగ్యశాఖ మంత్రి
456,3,నాకు నచ్చిన,"అమ్మాయిలు ఇప్పుడు మనం తెలుసు కోండి. కానీ వాళ్లు అలా ఇలా చేస్తే అంత సులభం కాదు, మీరు ఏదైనా మంచి పని చేయాలి అని గుర్తుంచు కోవాలి అంటే ఇది"
456,4,ఈ రోజు,"తెలంగాణ రాష్ట్రవ్యాప్తంగా మరో 4 నెలల పాటు తేలికపాటి నుంచి మోస్తరు వర్షాలు కురిసే అవకాశం ఉందని వాతావరణశాఖ హెచ్చరించింది. ఆదిలాబాద్, మహబూబాబాద్ జిల్లాల్లో ఉరుములు మెరుపులతో కూడిన ఉపరితల ఆవర్తనం"
456,5,మా ఇంట్లో,"నిద్ర లోకి వెళ్లి పోయిన ఘటన కామారెడ్డి జిల్లా పిట్ల ం పట్టణ మండలం చి ంద పల్లి గ్రామానికి చెందిన సాయి, అతని ఇద్దరు వ్యక్తులను శనివారం ఉదయం స్థానిక పోలీసులకు"
456,6,అతను చాలా,కాలంగా ఓ మహిళ. తన భర్త తనను వేధిస్తున్నాడని లైంగిక వేధింపు లే కారణమని భావించిన అతడు పోలీసులను ఆశ్రయించింది.' ఉత్తరప్రదేశ్ లోని ఫతే నగర్లోని పోలీస్ స్టేషన్ పరిధిలో ఈ
456,7,తెలుగు భాష,"లకు తెలంగాణ ప్రభుత్వం తీపి కబురు ఇచ్చింది. ఏపీ భవన్లో నూతన సంవత్స రాన్ని కొనసాగిస్తూ వస్తోంది అంటూ వైఎస్సార్ కాంగ్రెస్ పార్టీ నేతలు విమర్శలు వెల్లువెత్తుతున్నాయి."" కరోనా కారణంగా పలు"
456,8,పిల్లలు ఆడుకుంటున్నారు,". ఈ క్రమంలో తన భార్యను కొట్టి చంపాడు ఓ చిన్నారి తో పాటు కూతురు, కొడుకు పై మరో భార్య తల్లి దారుణంగా హత్య చేసిన ఘటన రాజేంద్రనగర్ పోలీస్స్టేషన్ పరిధిలో"
456,9,భారతదేశంలో,"కరోనావైరస్ మహమ్మారి కారణంగా ప్రపంచ దేశాలలో కరోనా కేసులు తగ్గుముఖం పట్టాయి. తాజాగా ఢిల్లీలో మొత్తం కేసుల సంఖ్య 7, 77 8కి చేరాయి మరియు ఇది గత 24 గంటల్లో"
456,10,ఒక రోజు,"కాఫీ జ్యూస్ తాగడం వల్ల ఎంతో ఆరోగ్య ప్రయోజనాలు ంటాయి. చాలా మంది శరీరంలోని కొన్ని రకాల పోషకాలు ఉంటాయి """" అని నిపుణులు సూచిస్తున్నారు, బీట్రూ ట్ శరీరానికి కావాల్సిన"
789,1,నేను పాఠశాలకు,చెందిన ఓ యువకుడు గుండెపోటుతో మృతి చెందాడు. కర్ణాటకలోని కర్ణాటక లోని శివ కాశి జిల్లాలోని కొ మర గ్రామంలో విషాదం చోటుచేసుకుంది'గత సంవత్సరం నుంచి స్నేహితులతో కలిసి బుధవారం
789,2,ఆమె పేరు,"పెట్టాలని సీఎం జగన్ స్పష్టం చేశారు. ముఖ్యమంత్రి జగన్కు టీడీపీ అధినేత చంద్రబాబునాయుడు లేఖ రాశారు."" అని వ్యాఖ్యానించారు """" అమరావతి రైతుల కోసం ఎన్నో కార్యక్రమాలు చేసిన ందుకు ధన్యవాదాలు"
789,3,నాకు నచ్చిన,ప్పుడల్లా ఎన్నో కష్టాలు కూడా ఉన్నాయి. ఒక వ్యక్తి ఓ వ్యక్తికి తన పెళ్లి చేసుకున్నాడు ఏకంగా రూ పాన్ని నడి పించాడు కానీ ఆ భార్య పై దాడి చేయ లేకపోయాడు
789,4,ఈ రోజు,ఆంధ్రప్రదేశ్ ప్రభుత్వం మరో కీలక నిర్ణయం తీసుకుంది. ఏపీలో కొత్త జిల్లాలు కూడా అమల వుతున్నాయి! రాష్ట్ర విభజన అనంతరం పరిపాలన ను అమలు చేయాలనే ఆలోచనలో సీఎం జగన్ సర్కార్
789,5,మా ఇంట్లో,"పేకాట ఆడుతున్న ఎనిమిది మందిని పోలీసులు అరెస్ట్ చేశారు. మరో నలుగురిని అదుపులోకి తీసుకొని, 10 మంది పోలీస్ స్టేషన్ కు పంపించారు ఈ నెల 19న గుంటూరు నుండి తెనాలి"
789,6,అతను చాలా,రోజుల తర్వాత ఆ సమయంలో తన భర్త కూడా ఒక పెళ్లి చేసుకున్నారు. ఓ వ్యక్తితో చనువుగా ఉన్నా వివాహేతర సంబంధం ఉంది అని భార్య భార్యను వేధ ించింది ఇలా చేసింది
789,7,తెలుగు భాష,"ని ప్రపంచ దేశాల మధ్య మరింత మంచి స్పందన గా మారింది. కరోనా వ్యాప్తి చెందకుండా అన్ని విధాలా చర్యలు తీసుకుంటున్నా, ఆ దేశం అంతా బల పడ నుందని సమాచారం"
789,8,పిల్లలు ఆడుకుంటున్నారు,". చదువు కొని, పిల్లల భవిష్యత్తు పై తల్లిదండ్రులు అప్రమత్తంగా ఉండాలని హైదరాబాద్ సీపీ అంజనీకుమార్ సూచించారు."" కరోనా కారణంగా పిల్లలకు వ్యాక్సిన్ ఇచ్చే విషయంలో అవగాహన ఉందా అని మంత్రి"
789,9,భారతదేశంలో,"కొన్ని కంపెనీలు తమ ఉత్పత్తులను కొనుగోలు చేశాయి. ముఖ్యంగా దేశీయ మార్కెట్ సూచీలు ( C H T PC ) షేర్లు లాభాల్లో ఉన్నాయి, సెన్సెక్స్ 20 పాయింట్లకు పైగా"
789,10,ఒక రోజు,"ఓ యువతి తనను లైంగికంగా వేధిస్తున్న మహిళ, నగ్న వీడియోలను మార్ఫింగ్ చేసి పోలీసులకు ఫిర్యాదు చేశాడు. దీంతో పోలీసులు కటకటాల పాలయ్యాడు."" ఈ ఘటనపై ఆమె హైదరాబాద్ నగరానికి"
1011,1,నేను పాఠశాలకు,"వెళ్లి నా. అలా చదువు కుంటున్నా ం అని చెప్పి స్కూల్ లోని ఓ ఉపాధ్యాయురాలు ఆత్మహత్య చేసుకున్నాడు పోలీసులు తెలిపిన వివరాల ప్రకారం వివరాలు ఇలా ఉన్నాయి, కొ త్తూర్"
1011,2,ఆమె పేరు,"మారుస్తూ ఆ పార్టీ అధినేత, ప్రధాని మోదీ ఇటీవల సంచలన నిర్ణయం తీసుకున్నారు. బీజేపీ ప్రభుత్వం నుంచి తప్పు కోవడంతో ఈ మేరకు కేంద్ర ఆర్థికమంత్రి నిర్మలా సీతారామన్ ట్విట్టర్ పేజీలో"
1011,3,నాకు నచ్చిన,"వాడిని. మీ జీవితంలో కూడా ఎన్నో మంచి పని చేస్తున్నారు నిపుణులు, రకరకాల లాభాలు వస్తాయి కాదు మీకు చాలా ప్రయోజనం చేకూరు తాయి అని చెబుతుంటారు కానీ ఇప్పుడు కొన్ని"
1011,4,ఈ రోజు,"బంగారం ధర రూ. 400 పెరిగి, 48 10 46 కి చేరుకుంది మరియు సోమవారం ముంబైలో శనివారం 11 పాయింట్లు లాభపడి 17 6 65 దగ్గర ముగిసింది."
1011,5,మా ఇంట్లో,"లేని సమయంలో ఓ వ్యక్తి ఆత్మహత్య చేసుకున్నాడు. అయితే అదే గ్రామానికి చెందిన యువతి, మామ లు భార్య లావణ్య తో కలిసి ఆదివారం ఉదయం నిద్ర పోయాడు. ఆమె"
1011,6,అతను చాలా,"మంది ఈ నెల 28న తన స్నేహితులతో కలిసి సరదాగా ఆడి తాగుతూ కనిపించాడు. కానీ, ఆ తర్వాత అక్కడ ఉన్న ఓ ఫోటో కూడా కనిపించింది ఎవరో తెలుసుకుని బయటికి"
1011,7,తెలుగు భాష,", భాషా భిమాను లపై ఏపీ ముఖ్యమంత్రి జగన్ ప్రశంసలు కురిపించారు. ప్రపంచ మహిళా దినోత్సవ సందర్భంగా వైసీపీ రాష్ట్ర అధ్యక్షులు వంగలపూడి అనిత మాట్లాడుతూ ఏపీలో మహిళలపై అత్యాచారాలు పెరిగి పోతున్నాయి"
1011,8,పిల్లలు ఆడుకుంటున్నారు,". అయితే తల్లిదండ్రులు, అబ్బాయి ల మధ్య చిన్న గొడవలు జరిగాయి. ఆ సమయంలో అమ్మాయిలు తమ పిల్లలను వేధ ించడంతో తల్లిదండ్రుల ఆందోళన మిన్న ంటాయి."" "" అని"
1011,9,భారతదేశంలో,కరోనా మహమ్మారి కేసుల సంఖ్య రోజురోజుకూ పెరిగిపోతున్నాయి. ఈ రోజు మాదిరిగానే తాజాగా వైరస్ వేగంగా విస్తరిస్తున్న నేపథ్యంలో దేశ వ్యాప్తంగా రోజువారీ కేసులు వెలుగు చూస్తున్నాయి కేంద్ర ఆరోగ్యశాఖ ప్రకటించింది కేంద్రం
1011,10,ఒక రోజు,నుంచి అక్రమంగా తరలిస్తున్న రూ. 10 లక్షలు సీజ్ చేసిన కేసులో ఓ వ్యాపారి తన రిమాండ్ కు హాజరు కావ టానికి ప్రయత్నించగా అతనికి బెయిల్ మంజూరు చేసినట్లు పోలీసులు సోమవారం
2024,1,నేను పాఠశాలకు,"వెళ్ల రాదని ఏపీ ఐటీ, పట్టణాభివృద్ధి శాఖ మంత్రి సురేశ్ ప్రకాశ్ అన్నారు. హైదరాబాద్ లోని కూకట్ పల్లిలో ఆమె స్వచ్ఛ సమాజ్ పార్టీ నిర్వహించిన కార్యక్రమంలో ఆయన ప్రసంగించారు."""""
2024,2,ఆమె పేరు,మీద నే పని చేయడానికి చాలా మంది మహిళా ఉద్యోగిని ఆత్మహత్య చేసుకున్న సంఘటన హైదరాబాద్ పోలీస్స్టేషన్ పరిధిలో జరిగింది. పట్టణంలోని ఇందిరా గాంధీ కాలనీలో నివసించే మహిళకు గత 15 సంవత్సరాలుగా
2024,3,నాకు నచ్చిన,"మహిళా క్రికెటర్ యువరాజ్ సింగ్ కి గుడ్ న్యూస్ ఇచ్చాడు. యువీ ని'అంటూ తన ట్వీట్ తో పంచుకున్నాడు."""" నేను కూడా మీకు థ్యా ంక్స్ చెప్పాడు,"
2024,4,ఈ రోజు,ఏపీ ముఖ్యమంత్రి జగన్ మోహన్ రెడ్డిపై కీలక వ్యాఖ్యలు చేశారు. టీడీపీ పార్టీ జాతీయ అధ్యక్షులు నారా లోకేష్ మాట్లాడుతూ రాజకీయ పార్టీకి చెందిన నాయకుడు చంద్రబాబుకు ఓటమి పాలైన తర్వాత కూడా
2024,5,మా ఇంట్లో,ఉన్న ఒక వ్యక్తి ఆత్మహత్య చేసుకున్న సంఘటన సోమవారం నగరంలోని రాజేంద్రనగర్ లోని హిమాయత్ నగర్కు చెందిన సాయి కిరణ్ ( 30 ) అనే యువతి గత ఐదు సంవత్సరాల నుండి భార్యాభర్తల
2024,6,అతను చాలా,ఇష్ట పడిన వ్యక్తి ఓ ప్రైవేటు కంపెనీకి నిప్పు పెట్టాడు. దీంతో తాను ఇంట్లో ఉరి వేసుకుని చనిపోయాడు. ఈ ఘటన కామారెడ్డి జిల్లా గాంధ ారి మండలం లింగం పల్లికి
2024,7,తెలుగు భాష,"లో ఉన్న శ్రీ చైతన్య ఎన్టీఆర్ జయంతి వేడుకలు వైభవంగా జరిగాయి. ఈ వేడుకల్లో సీఎం జగన్ పాల్గొన్నారు. ఆయన మాట్లాడుతూ, మాతృ జీవితంలో తెలుగువారి గుండెల్లో చిరస్థాయిగా నిలిచి"
2024,8,పిల్లలు ఆడుకుంటున్నారు,". కానీ చాలా మంది, అమ్మాయిలు ఎక్కువగా అబ్బాయి లతో కలిసి పిల్లలను చూసి ఇబ్బంది పడతారు."" అని ఆ అమ్మాయి తల్లి పిల్లల పేరెంట్స్ తో వీడియో సోషల్ మీడియాలో"
2024,9,భారతదేశంలో,"వరుసగా నాలుగు రోజుల కిందట జరగనున్న టీ20 వరల్డ్ కప్ లో భాగంగా వెస్టిండీస్ జట్టు, విండీస్ జట్లు మధ్య మ్యాచ్ చోటు చేసుకున్నాయి. ఆదివారం జరిగిన టాస్ గెలిచిన ఇంగ్లండ్"
2024,10,ఒక రోజు,రోజుకు 10 మంది కరోనా బారిన పడి మరణించిన వ్యక్తి అయిన తర్వాత ఓ యువకుడు ఆస్పత్రిలో చికిత్స పొందుతున్నారు. ఆమె మృతి చెందడం జరిగింది అని తల్లిదండ్రులు అంటున్నారు పోలీసులు కేసు
3035,1,నేను పాఠశాలకు,వచ్చిన విద్యార్థి పట్ల తనకు భయం ఉందని ఎమ్మెల్యే రోజా అభిప్రాయపడ్డారు. ఇదిలావుంటే తాను సోషల్ మీడియాలో మాట్లాడిన ఆమె'నా జీవితంలో ఉన్నానని ఆయన అన్నారు.' తనను కూడా
3035,2,ఆమె పేరు,"చెబితే. భర్త, కూతురు తో కలిసి ఇంటికి వెళ్లి ఇంట్లో ఎవరూ లేని సమయంలో ఇద్దరు యువకులు అదృశ్య మయ్యారు. సమాచారం అందుకున్న పోలీసులు పోలీసులకు అప్పగించారు. సంఘటన"
3035,3,నాకు నచ్చిన,"వారిని ఓ వ్యక్తి తనకు పెళ్లి చేసుకుంటానని బెదిరించాడు. కానీ, అదే ప్రాంతానికి చెందిన ఆ యువతి రూ దారు ణాన్ని ఆశ్రయించింది. బాధితురాలు గర్భం దాల్చింది పోలీసులు ఆమెకు"
3035,4,ఈ రోజు,"బంగారం ధర స్థిరంగా పెరిగింది. వెండి ధరలు కాస్త తగ్గాయి. బులియన్ మార్కెట్లో 10 గ్రాముల 22 క్యారెట్ల రూ ః 24 పెరిగి 60, 500 వద్ద కొనసాగుతోంది"
3035,5,మా ఇంట్లో,"ఒక భర్త గొడవ పడి ఆత్మహత్య చేసుకున్నాడు. హైదరాబాద్ బోరబండ మండలం అల్ వాయి పల్లి గ్రామానికి చెందిన బ ర్రె, కె ంజ ర్ల కి దంపతుల కుమారులు గా"
3035,6,అతను చాలా,"రోజుల పాటు కురుస్తున్న వర్షాల కారణంగా నగరంలో వర్షాలు కురుస్తున్నాయి. ఈ సమయంలో లోతట్టు ప్రాంతాలు జలమయం అయ్యాయి, పలు చోట్ల వర్షాలకు వాగులు పొంగి పో స్తున్నాయి కాబట్టి రోడ్లు"
3035,7,తెలుగు భాష,లను కించపరిచేలా వ్యాఖ్యలు చేసిన బీజేపీ నాయకురాలు రేణుకా చౌదరి మండిపడ్డారు. హైదరాబాద్ నగరంలోని ఇందిరా భవన్ లో నిర్వహించిన ఆయన మీడియాతో మాట్లాడారు ఆమె'గవర్నర్ తో మాట్లాడిన ారు
3035,8,పిల్లలు ఆడుకుంటున్నారు,". ఒక చోట ఉండే అమ్మాయిలు బాగా స్నానం చేయాలి, ఆ రోజు ఏదో పని చేయండి ఈ సమయంలో వేడి నీటిలో నాన బెట్టి తాగితే మంచిది అని చాలా మంది"
3035,9,భారతదేశంలో,"అన్ని జిల్లాల్లో కరోనా కేసులు తగ్గు తాయో నన్న ఆందోళన కలిగిస్తోంది. తాజా కేసులతో పాటు రాష్ట్రంలో నమోదైన కేసుల సంఖ్య 6, 0 64 కు చేరిందని కేంద్ర వైద్య"
3035,10,ఒక రోజు,"రోజుకు కరోనా పాజిటివ్ వచ్చింది. అయితే, ఒమిక్రాన్ వ్యాప్తి కారణంగా ఒకరు మృతి చెందారు మరియు మరో వ్యక్తి మరణించారు అని వైద్యులు తెలిపారు """" కానీ ఇంకా మూడు రోజుల్లో"
4046,1,నేను పాఠశాలకు,"వెళ్ళ డానికి వెళ్ళిన ప్పుడు, కానీ అక్కడ కూడా ఆయన ఏం మాట్లాడు తున్నా అని ప్రశ్నించారు. ఈ విషయంపై బీజేపీ జాతీయ అధ్యక్షుడు బండి సంజయ్ కు వివరణ ఇచ్చారు"
4046,2,ఆమె పేరు,"మీద ఉన్న'అని వైసీపీ అధినేత వైఎస్ జగన్ అన్నారు. ఈ రోజు ఉదయం ఆయన విలేకరులతో మాట్లాడారు.' చంద్రబాబు, పవన్ కళ్యాణ్ లకు ప్రేమ లేదు."""""
4046,3,నాకు నచ్చిన,"పని చేసినా తన ఇంటి దగ్గరే ఆ డబ్బు పై ఏకంగా రూ. 16 వేలు జరిమానా పెట్టాడు ఓ భర్త భార్య కూడా ఈ క్రమంలో అతడి భర్తకు, ఫోన్"
4046,4,ఈ రోజు,"ఉదయం నుంచే రాష్ట్రంలో ఐటీ, పురపాలక శాఖ మంత్రి కేటీఆర్ పర్యటించనున్నారు. పలు ప్రాంతాల్లో పర్యటిస్తున్న సీఎం వైఎస్ జగన్ ను మర్యాద పూర్వకంగా కలిశారు. అనంతరం అక్కడ జరిగే"
4046,5,మా ఇంట్లో,"ఆడుకుంటున్న ఐదుగురు పిల్లలను కిడ్నాప్ చేసి తల్లి తో దాడి చేసింది. ఈ ఘటన ఉత్తరప్రదేశ్లోని ముజఫర్ నగర్ లోని ఖ ాలి క్ గ్రామంలో మంగళవారం జరిగింది, ఒక బాలుడు"
4046,6,అతను చాలా,"మందికి ఎంతో మేలు చేస్తుంది. కానీ అలాంటి ఘటనే నిజమే! ఆ యువతి'మీ నా అనే యువకుడు కన్నేశాడు, తన స్నేహితులతో కలిసి వచ్చాడు అయితే పెళ్లి"
4046,7,తెలుగు భాష,కు గుడ్ న్యూస్ చెప్పింది. తెలంగాణ విద్యా మండలి ( విద్యాశాఖ ) లో నిర్వహించిన పరీక్షల్లో ఉత్తీర్ణత సాధించి రాష్ట్ర ప్రభుత్వం విడుదల చేసిన ఈ పరీక్షలకు మొత్తం 2 శాతం
4046,8,పిల్లలు ఆడుకుంటున్నారు,వైద్య సిబ్బంది. చిన్న పిల్లల చదువు ల్లో చదివే విద్యార్థులకు ఆ రాష్ట్ర ప్రభుత్వం గుడ్ న్యూస్ చెప్పింది అని ఆరోగ్య శాఖ తెలిపింది. ఈ విషయం తెలిసిన అధికారులు కూడా
4046,9,భారతదేశంలో,"మరో కొత్త కరోనావైరస్ ఓమిక్రాన్ వేరియంట్ వ్యాపించింది. గత 24 గంటల వ్యవధిలో నమోదైన 6 పాజిటివ్ కేసుల సంఖ్య 39 2 కు పెరిగి 8 46 కి చేరుకుంది,"
4046,10,ఒక రోజు,"నుంచి తన భర్త కూడా కలిసి ఆత్మహత్య చేసుకోవడంతో మనస్తాపం చెంది న పురుగు మందు తాగి ఆత్మహత్యాయత్నానికి పాల్పడింది. గుంటూరు జిల్లాలోని మాచవరం మండలం, చేబ్రోలు లోని ఓ కళాశాలలో"
5057,1,నేను పాఠశాలకు,వెళ్ల కపోవడం వల్ల చదువుకు దూరంగా ఉండి పోయి పోవడం వలన ఈ సమస్య వస్తుంది. అలాంటి సమయంలో మాత్రం కాస్త ఇబ్బంది పడుతున్నారు అన లేదు కదా అన్నది తెలుసా అని
5057,2,ఆమె పేరు,"మార్పుపై తాను స్పష్టత వచ్చిందని మాజీ స్పీకర్ కోడెల శ్రీనివాసరావు అన్నారు. ఈరోజిక్కడ ఆయన మాట్లాడుతూ వైసీపీ నేతల ది కాదని చెప్పారు."" చంద్రబాబు ఎన్నికల సమయంలో కూడా ఎలాంటి వ్యాఖ్యలు"
5057,3,నాకు నచ్చిన,విధంగా నా. అలా మాట్లాడితే మీ ఇష్టం లేదు అని మీరు చేసిన పనిని కూడా మర్చిపో కుండానే ఓ యువతి నుంచి పెళ్లి చేసుకో లేదని సోషల్ మీడియాలో షేర్ చేయడం
5057,4,ఈ రోజు,"రోజుకు 3, 8 29 కోవిడ్ కేసులు నమోదయ్యాయి. తాజాగా మొత్తం కేసుల సంఖ్య 1 లక్షలకు చేరగా మరణాల రేటు రూ 2 కోట్లు కాగా అని వైద్య ఆరోగ్య"
5057,5,మా ఇంట్లో,ఉన్న ఇంట్లోని గోడ కట్టు కోవడం ఓ బాలిక మృతదేహం పై తల్లి అనుమానం తో ఆత్మహత్య చేసుకున్న ఘటన యాదాద్రి భువనగిరి జిల్లాలో సోమవారం చోటుచేసుకుంది. ఎస్సై తెలిపిన వివరాల ప్రకారం
5057,6,అతను చాలా,"సేపు, ఆ తరువాత నేను ఈ రోజు ఓ వ్యక్తి తన సోషల్ మీడియా ద్వారా స్పందించాడు.'మనం ఎంతో ఇష్టమైన వస్తువు ను ఆస్వా ది స్తుంది '."
5057,7,తెలుగు భాష,లకు జాతీయ గీతం యూనివర్సిటీ గుడ్ న్యూస్ చెప్పింది. ఈ మేరకు ఆదివారం ఓ ప్రకటన విడుదల చేసింది కరోనా కారణంగా వాయిదా పడింది మరియు జూన్ 10 నాటికి కాళోజీ విద్యా
5057,8,పిల్లలు ఆడుకుంటున్నారు,". తాజాగా మన దేశంలో కరోనా మహమ్మారి వ్యాప్తి చెందు తున్నది."" అని భారత ప్రభుత్వం ప్రకటించింది భారత్, బంగ్లాదేశ్ లకు చెందిన మరో వ్యక్తికి వైరస్ సోకినట్లు తెలుస్తోంది."
5057,9,భారతదేశంలో,"కరోనా విజృంభణ కొనసాగుతుంది. తాజాగా దేశవ్యాప్తంగా కోవిడ్ - 19 మరణాల రేటు 4 శాతంగా ఉంది మరియు తాజా మరణాలు నమోదయ్యాయి, ఇప్పటివరకు 3 27 7 99 వద్ద"
